no.;ctmin;dev.temp;dev.treat;observer
1;3.99;19;const;Jesper
2;4.16;19;const;Paul
3;6.09;19;const;Paul
4;3.71;19;const;Jesper
5;4.64;19;const;Jesper
6;4.05;19;const;Paul
7;4.13;19;const;Paul
8;4.3;19;const;Jesper
9;4.22;19;const;Jesper
10;4.61;19;const;Paul
11;4.2;19;const;Jesper
13;4.21;19;const;Paul
14;4.12;19;const;Jesper
15;4.31;19;const;Paul
16;4.78;19;fluct;Paul
17;4.39;19;fluct;Paul
18;4.49;19;fluct;Paul
19;4.07;19;fluct;Paul
20;5.67;19;fluct;Paul
21;4.4;19;fluct;Paul
22;4.35;19;fluct;Paul
23;4.3;19;fluct;Paul
24;4.18;19;fluct;Jesper
25;4.33;19;fluct;Jesper
26;4.13;19;fluct;Jesper
27;4.38;19;fluct;Jesper
28;4.31;19;fluct;Jesper
29;4.47;19;fluct;Jesper
31;6.18;23;const;Paul
32;5.87;23;const;Paul
33;6.23;23;const;Paul
34;5.72;23;const;Paul
35;6.03;23;const;Paul
36;6.09;23;const;Paul
37;6.14;23;const;Paul
38;6.14;23;const;Paul
39;6.3;23;const;Paul
40;5.87;23;const;Paul
41;5.62;23;const;Jesper
42;5.98;23;const;Jesper
43;5.88;23;const;Jesper
44;5.53;23;const;Jesper
45;6.38;23;const;Jesper
46;5.5;23;const;Jesper
47;5.68;23;const;Jesper
48;5.57;23;const;Jesper
49;6;23;const;Jesper
50;6.1;23;const;Jesper
51;5.66;23;fluct;Paul
52;6.27;23;fluct;Jesper
53;5.48;23;fluct;Jesper
54;5.98;23;fluct;Paul
55;6.24;23;fluct;Jesper
56;6.32;23;fluct;Paul
57;6.07;23;fluct;Jesper
58;5.83;23;fluct;Jesper
59;6.54;23;fluct;Jesper
60;5.82;23;fluct;Paul
61;5.92;23;fluct;Paul
62;6;23;fluct;Jesper
63;6.18;23;fluct;Paul
64;5.95;23;fluct;Paul
65;5.74;23;fluct;Paul
66;5.47;23;fluct;Jesper
67;6.44;23;fluct;Jesper
68;5.73;23;fluct;Jesper
69;5.67;23;fluct;Paul
70;5.95;23;fluct;Paul
