treatment,id,date,days,hippo pre,hippo post,hippo prop rem,adj hippo prop rem,adj hippo pct rem,ln hippo prop rem
A,1,10/4/2012,0,9.345794393,9.37,1.00259,1,100,0
A,2,10/4/2012,0,9.345794393,9.29,0.99403,1,100,0
A,3,10/4/2012,0,9.345794393,9.03,0.96621,1,100,0
A,4,10/6/2012,2,9.345794393,10.65,1.13955,1.154134052,115.4134052,0.143350324
A,5,10/6/2012,2,9.345794393,9.06,0.96942,0.981826714,98.18267145,-0.018340449
A,6,10/6/2012,2,9.345794393,7.78,0.83246,0.843113889,84.31138895,-0.17065323
A,7,10/10/2012,6,9.345794393,7.29,0.78003,0.790012886,79.00128861,-0.235706022
A,8,10/10/2012,6,9.345794393,6.65,0.71155,0.720656474,72.06564736,-0.327592713
A,9,10/10/2012,6,9.345794393,6.52,0.69764,0.706568452,70.65684524,-0.347335193
A,10,10/20/2012,16,9.345794393,8.82,0.94374,0.95581806,95.58180598,-0.045187698
A,11,10/20/2012,16,9.345794393,5.83,0.62381,0.63179357,63.17935701,-0.459192568
A,12,10/20/2012,16,9.345794393,3.62,0.38734,0.392297208,39.22972082,-0.935735543
A,13,10/25/2012,21,9.345794393,3.26,0.34882,0.353284226,35.32842262,-1.040482373
A,14,10/25/2012,21,9.345794393,9.21,0.98547,0.998082124,99.80821237,-0.001919717
A,15,10/25/2012,21,9.345794393,3.58,0.38306,0.387962432,38.79624324,-0.946846769
A,16,11/1/2012,28,9.345794393,1.82,0.19474,0.197232298,19.72322981,-1.623373067
A,17,11/1/2012,28,9.345794393,2.04,0.21828,0.221073565,22.10735648,-1.50925976
A,18,11/1/2012,28,9.345794393,2.26,0.24182,0.244914832,24.49148316,-1.406844753
A,19,11/15/2012,42,9.345794393,1.57,0.16799,0.170139949,17.01399494,-1.771133951
A,20,11/15/2012,42,9.345794393,0.82,0.08774,0.088862904,8.886290352,-2.420660501
A,21,11/15/2012,42,9.345794393,4.8,0.5136,0.520173094,52.01730938,-0.65359365
A,22,11/22/2012,49,9.345794393,0.96,0.10272,0.104034619,10.40346188,-2.26303156
A,23,11/22/2012,49,9.345794393,4.01,0.42907,0.434561272,43.45612721,-0.833418327
A,24,11/22/2012,49,9.345794393,2.86,0.30602,0.309936468,30.99364684,-1.171387944
A,26,11/30/2012,57,9.345794393,0.97,0.10379,0.105118313,10.51183127,-2.252668773
A,28,11/30/2012,57,9.345794393,0.54,0.05778,0.058519473,5.851947305,-2.838395708
A,29,11/30/2012,57,9.345794393,0.86,0.09202,0.093197679,9.31976793,-2.373032461
A,30,11/30/2012,57,9.345794393,1.14,0.12198,0.12354111,12.35411098,-2.091181304
A,31,12/6/2012,63,9.345794393,0.97,0.10379,0.105118313,10.51183127,-2.252668773
A,32,12/6/2012,63,9.345794393,1.22,0.13054,0.132210661,13.22106613,-2.023358712
A,34,12/6/2012,63,9.345794393,1.12,0.11984,0.121373722,12.13737219,-2.108880882
A,36,12/6/2012,63,9.345794393,0.62,0.06634,0.067189025,6.718902461,-2.700245363
B,1,10/4/2012,0,10,6.72,0.672,1,100,0
B,2,10/4/2012,0,10,6.42,0.642,1,100,0
B,3,10/4/2012,0,10,5.57,0.557,1,100,0
B,4,10/6/2012,2,10,5.06,0.506,0.816525415,81.65254151,-0.20269724
B,5,10/6/2012,2,10,5.23,0.523,0.843958087,84.39580871,-0.169652446
B,6,10/6/2012,2,10,4.72,0.472,0.761660071,76.1660071,-0.272254924
B,8,10/10/2012,6,10,4.3,0.43,0.693885234,69.38852342,-0.365448701
B,9,10/10/2012,6,10,4.54,0.454,0.732613712,73.26137124,-0.311136712
B,10,10/10/2012,6,10,4.69,0.469,0.756819011,75.68190112,-0.278631141
B,11,10/20/2012,16,10,3.29,0.329,0.530902888,53.09028885,-0.63317616
B,12,10/20/2012,16,10,2.33,0.233,0.375988976,37.59889757,-0.978195455
B,13,10/20/2012,16,10,2.64,0.264,0.42601326,42.601326,-0.853284806
B,14,10/25/2012,21,10,1.74,0.174,0.280781467,28.07814669,-1.27017861
B,15,10/25/2012,21,10,3.16,0.316,0.509924963,50.99249628,-0.673491695
B,16,10/25/2012,21,10,4.43,0.443,0.71486316,71.48631599,-0.335664139
B,17,11/1/2012,28,10,1.75,0.175,0.282395153,28.23951534,-1.264447937
B,18,11/1/2012,28,10,1.83,0.183,0.295304646,29.53046462,-1.219747757
B,19,11/1/2012,28,10,2.03,0.203,0.327578378,32.7578378,-1.11602793
B,22,11/15/2012,42,10,1.23,0.123,0.198483451,19.84834507,-1.617049553
B,23,11/15/2012,42,10,1.41,0.141,0.227529809,22.75298093,-1.480474021
B,24,11/15/2012,42,10,2.1,0.21,0.338874184,33.88741841,-1.082126379
B,25,11/22/2012,49,10,1.34,0.134,0.216234003,21.62340032,-1.53139411
B,26,11/22/2012,49,10,1.49,0.149,0.240439302,24.04393021,-1.425287604
B,27,11/22/2012,49,10,1.29,0.129,0.20816557,20.81655703,-1.569421506
B,28,11/30/2012,57,10,0.75,0.075,0.121026494,12.10264943,-2.111745799
B,29,11/30/2012,57,10,1,0.1,0.161368659,16.13686591,-1.824063724
B,30,11/30/2012,57,10,1.72,0.172,0.277554094,27.75540937,-1.281739431
B,33,12/6/2012,63,10,0.99,0.099,0.159754973,15.97549725,-1.834114056
C,1,10/4/2012,0,10,9.46,0.946,1,100,0
C,2,10/4/2012,0,10,9.18,0.918,1,100,0
C,3,10/4/2012,0,10,9.12,0.912,1,100,0
C,4,10/6/2012,2,10,8.16,0.816,0.882068337,88.20683374,-0.125485746
C,7,10/6/2012,2,10,8.67,0.867,0.937197608,93.71976085,-0.064861125
C,8,10/6/2012,2,10,8.55,0.855,0.924226015,92.42260153,-0.078798632
C,9,10/10/2012,6,10,7.53,0.753,0.813967473,81.39674731,-0.205834873
C,10,10/10/2012,6,10,7.21,0.721,0.779376558,77.93765579,-0.249260964
C,11,10/10/2012,6,10,6.43,0.643,0.695061202,69.50612021,-0.363755377
C,12,10/20/2012,16,10,5.65,0.565,0.610745846,61.07458464,-0.49307437
C,15,10/20/2012,16,10,6.3,0.63,0.681008643,68.10086428,-0.384180281
C,16,10/20/2012,16,10,2.67,0.267,0.288617949,28.86179486,-1.242651441
C,17,10/25/2012,21,10,2.97,0.297,0.321046932,32.10469316,-1.136167961
C,18,10/25/2012,21,10,5.31,0.531,0.573992999,57.3992999,-0.55513808
C,19,10/25/2012,21,10,6.31,0.631,0.682089609,68.20896089,-0.382594238
C,20,11/1/2012,28,10,2.88,0.288,0.311318237,31.13182367,-1.16693962
C,27,11/1/2012,28,10,5.53,0.553,0.597774253,59.77742532,-0.5145421
C,28,11/15/2012,42,10,1.26,0.126,0.136201729,13.62017286,-1.993618191
C,30,11/15/2012,42,10,1.65,0.165,0.178359406,17.83594065,-1.72395463
C,32,11/22/2012,49,10,1.28,0.128,0.138363661,13.83636608,-1.977869835
C,33,11/22/2012,49,10,1.32,0.132,0.142687525,14.26875252,-1.947098179
