season,date,site.name,site.no,time,DOC,NO3,SRP,NH4,TN,TP,Chl,CPOM,NH4.mean,NH4.se,SRP.mean,SRP.se,TN.mean,TN.se,TP.mean,TP.se,DOC.mean,DOC.se,CPOM.mean,CPOM.se
wet,11/28/2013,0,Site 1,9:30,2.59,741.9823843,1.760487835,21.73154999,0.92,65.91,0.414722628,0.070248642,50.40833,20.33009,13.24304,2.583045,1.365882,0.1851292,131.7771,32.15496,2.798696,0.2022114,0.2736092,0.1343363
wet,11/28/2013,15,,11:10,2.552,732.8490538,5.557380657,17.80121215,0.93,64.44,0.736702703,0.054379976,,,,,,,,,,,,
wet,11/28/2013,29,,12:30,2.606,727.6797495,6.962210729,19.73265742,1,76.92,0.967325581,0.195927853,,,,,,,,,,,,
wet,11/28/2013,40,,14:15,3.51,727.9475891,9.226561654,14.26942651,1.13,98.97,2.045186567,0.170562194,,,,,,,,,,,,
wet,11/28/2013,51,Site 2,16:25,2.93,744.6339963,12.08487392,23.73657413,0.9,65,2.417783505,0.205616593,62.62456,15.08624,15.87977,1.921303,1.818125,0.2615343,190.8262,37.22337,3.286957,0.2688921,1.401953,0.477443
wet,11/29/2013,71,,12:45,3.26,794.2111068,29.80438282,77.58404199,1.89,189.87,3.48037234,0.409582513,,,,,,,,,,,,
wet,11/29/2013,83,,13:45,3.226,849.3592809,39.91794303,44.20376244,1.84,191.46,2.224352679,8.80,,,,,,,,,,,,
wet,11/30/2013,92,,15:00,3.335,899.0703111,36.71095721,34.59558866,2,200.06,1.642986111,0.811701107,,,,,,,,,,,,
wet,11/30/2013,106,,14:12,4.129,875.9289694,17.00481993,52.84927937,1.93,179.53,4.048486842,0.175935215,,,,,,,,,,,,
wet,11/30/2013,125,Site 3,11:55,3.928,933.8626754,16.17165231,88.99489802,2.17,202.55,6.186805556,0.311448951,126.3684,21.56835,23.27125,1.939481,2.606562,0.2481945,265.5272,33.80948,3.994063,0.2303704,2.3415751,1.0001891
dry,2/15/2014,0,Site 1,,3.192,1016.022177,25.26040164,64.6512347,1.65,142.25,1.005633929,0.006530928,,,,,,,,,,,,
dry,2/17/2014,15,,,3.257,857.3110905,13.40670352,65.75854393,1.64,104.67,4.278975,0.036508296,,,,,,,,,,,,
dry,2/17/2014,29,,,3.507,878.682303,29.27766431,65.98651936,2.09,172.62,3.744596774,0.036221956,,,,,,,,,,,,
dry,2/17/2014,40,,,4.846,985.634564,19.17904248,211.7337422,3.56,353.39,9.9009375,0,,,,,,,,,,,,
dry,2/13/2014,51,Site 2,12:15,5.72,1420.375643,39.39014926,268.3740334,3.59,359.09,11.18892857,0.027989693,,,,,,,,,,,,
dry,2/18/2014,71,,,7.024,1597.492732,90.8360739,304.1830072,4.57,516.49,9.8271875,0.40,,,,,,,,,,,,
dry,2/18/2014,83,,,6.454,1467.09579,93.58159957,218.5772754,3.94,464.35,12.89376923,0.036601907,,,,,,,,,,,,
dry,2/18/2014,92,,,6.781,1200.877741,39.82396926,226.5659943,3.7,409.2,25.20326087,0.03875496,,,,,,,,,,,,
dry,2/19/2014,106,,9:00,7.214,1444.531261,26.78569368,163.5039673,3.7,368.7,19.35495,0.031099659,,,,,,,,,,,,
dry,2/14/2014,125,Site 3,12:15,6.552,1368.014365,43.93521428,184.077792,3.88,420.85,10.288125,0.02583664,,,,,,,,,,,,
